"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.193465091E0,1.330999970E0,-4.059999883E-1,-6.549999714E-1,1.537992807E0
2.203201994E0,1.210000038E0,-2.960000038E-1,-8.790000081E-1,1.524584241E0
2.212938843E0,1.194000006E0,-1.679999977E-1,-9.259999990E-1,1.520307867E0
2.222675750E0,1.292999983E0,-2.099999934E-1,-6.859999895E-1,1.478697041E0
2.232412673E0,1.373999953E0,-2.709999979E-1,-4.269999862E-1,1.464119482E0
2.242149352E0,1.294000030E0,-1.490000039E-1,-4.110000134E-1,1.365854344E0
2.251886273E0,1.149999976E0,2.099999972E-2,-4.099999964E-1,1.221081874E0
2.261623126E0,1.113999963E0,3.200000152E-2,-2.020000070E-1,1.132618170E0
2.271360124E0,1.082000017E0,-5.099999905E-2,8.900000155E-2,1.086851433E0
2.281096978E0,1.044999957E0,-1.330000013E-1,2.630000114E-1,1.085763748E0
2.290833899E0,1.021999955E0,-1.949999928E-1,4.740000069E-1,1.143321876E0
2.300570593E0,1.113999963E0,-3.280000091E-1,6.340000033E-1,1.323078202E0
2.310307485E0,1.228999972E0,-4.510000050E-1,7.860000134E-1,1.526970189E0
2.320044393E0,1.328999996E0,-5.640000105E-1,9.509999752E-1,1.728796678E0
2.329781241E0,1.368000031E0,-6.499999762E-1,1.090999961E0,1.866602520E0
2.339518159E0,1.351999998E0,-7.080000043E-1,1.253000021E0,1.974633397E0
2.349255082E0,1.340000033E0,-7.509999871E-1,1.409999967E0,2.085114140E0
2.358991981E0,1.307000041E0,-7.739999890E-1,1.547999978E0,2.168785149E0
2.368728675E0,1.281999946E0,-8.190000057E-1,1.620000005E0,2.222315208E0
2.378465615E0,1.271000028E0,-8.650000095E-1,1.641999960E0,2.249406578E0
2.388202538E0,1.263000011E0,-9.409999847E-1,1.629999995E0,2.266616418E0
2.397939386E0,1.253000021E0,-9.769999981E-1,1.541000009E0,2.213417962E0
2.407676304E0,1.222000003E0,-9.789999723E-1,1.424000025E0,2.116483173E0
2.417413227E0,1.113000035E0,-1.006999969E0,1.296000004E0,1.983036567E0
2.427150168E0,1.006000042E0,-1.057000041E0,1.143000007E0,1.853573356E0
2.436886862E0,9.350000024E-1,-1.166000009E0,9.070000052E-1,1.748264864E0
2.446623750E0,8.199999928E-1,-1.282999992E0,5.740000010E-1,1.627256885E0
2.456360673E0,7.089999914E-1,-1.404999971E0,1.640000045E-1,1.582277444E0
2.466097521E0,6.129999757E-1,-1.578999996E0,-2.520000041E-1,1.712458455E0
2.475834438E0,4.900000095E-1,-1.684999943E0,-6.140000224E-1,1.859118297E0
2.485571142E0,3.129999936E-1,-1.802999973E0,-1.019000053E0,2.094549834E0
2.495308063E0,1.940000057E-1,-1.950000048E0,-1.338000059E0,2.372842251E0
2.505044986E0,1.140000001E-1,-2.101999998E0,-1.496999979E0,2.583100642E0
2.514781909E0,-2.500000037E-2,-2.190000057E0,-1.519999981E0,2.665919202E0
2.524518841E0,-2.099999934E-1,-2.164000034E0,-1.476999998E0,2.628407339E0
2.534255689E0,-3.580000103E-1,-2.109999895E0,-1.253999949E0,2.480479679E0
2.543992616E0,-3.720000088E-1,-2.095999956E0,-9.639999866E-1,2.336855964E0
2.553729539E0,-2.730000019E-1,-2.118999958E0,-5.690000057E-1,2.210984131E0
2.563466228E0,-1.509999931E-1,-2.098000050E0,2.000000095E-3,2.103427965E0
2.573203149E0,-6.499999762E-2,-2.061000109E0,4.990000129E-1,2.121543650E0
2.582940125E0,-2.400000021E-2,-2.013000011E0,9.020000100E-1,2.205980296E0
2.592676973E0,-3.700000048E-2,-2.036000013E0,1.312000036E0,2.422397397E0
2.602413889E0,-7.400000095E-2,-2.056999922E0,1.628999949E0,2.624950573E0
2.612150813E0,-1.430000067E-1,-2.095000029E0,1.807000041E0,2.770329091E0
2.621887770E0,-1.140000001E-1,-2.118999958E0,1.893000007E0,2.843695808E0
2.631624507E0,-1.180000007E-1,-2.125000000E0,1.850999951E0,2.820593877E0
2.641361414E0,-1.389999986E-1,-2.082999945E0,1.592000008E0,2.625390217E0
2.651098337E0,-2.189999968E-1,-2.010999918E0,1.189000010E0,2.346444692E0
2.660835185E0,-3.179999888E-1,-1.888000011E0,7.329999804E-1,2.050111462E0
2.670572106E0,-4.219999909E-1,-1.756999969E0,2.960000038E-1,1.831051307E0
2.680308830E0,-4.339999855E-1,-1.618000031E0,-9.600000083E-2,1.677944006E0
2.690045982E0,-4.309999943E-1,-1.514999986E0,-5.189999938E-1,1.658417000E0
2.699782671E0,-4.530000091E-1,-1.398000002E0,-8.389999866E-1,1.692197976E0
2.709519592E0,-4.530000091E-1,-1.261000037E0,-1.171000004E0,1.779486193E0
2.719256468E0,-5.189999938E-1,-1.118999958E0,-1.450000048E0,1.903686434E0
2.728993389E0,-5.669999719E-1,-9.980000257E-1,-1.577999949E0,1.951301325E0
2.738730331E0,-5.569999814E-1,-9.190000296E-1,-1.649999976E0,1.969088610E0
2.748467026E0,-5.509999990E-1,-8.410000205E-1,-1.657999992E0,1.939032235E0
2.758203966E0,-5.159999728E-1,-7.810000181E-1,-1.623000026E0,1.873591760E0
2.767940884E0,-5.019999743E-1,-7.149999738E-1,-1.514000058E0,1.747977435E0
2.777677807E0,-4.679999948E-1,-6.499999762E-1,-1.381000042E0,1.596460172E0
2.787414670E0,-4.440000057E-1,-6.019999981E-1,-1.238000035E0,1.446438416E0
2.797151591E0,-3.970000148E-1,-5.720000267E-1,-1.082000017E0,1.286668986E0
2.806888499E0,-3.370000124E-1,-5.220000148E-1,-9.390000105E-1,1.125954725E0
2.816625194E0,-2.730000019E-1,-4.850000143E-1,-8.339999914E-1,1.002651485E0
2.826362134E0,-2.049999982E-1,-4.329999983E-1,-7.340000272E-1,8.765101470E-1
2.836099057E0,-1.250000000E-1,-3.639999926E-1,-6.499999762E-1,7.553945748E-1
2.845835910E0,-5.600000173E-2,-2.849999964E-1,-5.379999876E-1,6.113959313E-1
2.855572802E0,-2.600000054E-2,-1.700000018E-1,-4.339999855E-1,4.668318627E-1
2.865309725E0,-3.500000015E-2,-7.599999756E-2,-3.409999907E-1,3.511153561E-1
2.875046663E0,-1.089999974E-1,2.199999988E-2,-2.319999933E-1,2.572722222E-1
2.884783348E0,-2.549999952E-1,1.389999986E-1,-1.030000001E-1,3.081476873E-1
