"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.180796315E0,-1.327000022E0,-7.189999819E-1,-3.776000023E0,4.066456222E0
2.190534087E0,-1.309999943E0,-8.489999771E-1,-4.387000084E0,4.656465456E0
2.200271705E0,-1.261000037E0,-8.190000057E-1,-4.723000050E0,4.956572563E0
2.210009453E0,-1.088999987E0,-9.509999752E-1,-4.936999798E0,5.144345335E0
2.219747070E0,-6.740000248E-1,-1.266000032E0,-5.114999771E0,5.312273974E0
2.229484813E0,-2.919999957E-1,-1.680999994E0,-5.263000011E0,5.532648019E0
2.239222431E0,2.750000060E-1,-2.204999924E0,-5.335999966E0,5.780185577E0
2.248960198E0,8.389999866E-1,-2.594000101E0,-5.295000076E0,5.955651376E0
2.258697815E0,1.358999968E0,-2.890000105E0,-5.124000072E0,6.037744468E0
2.268435568E0,1.633999944E0,-3.151999950E0,-4.605000019E0,5.814729975E0
2.278173195E0,1.516000032E0,-3.401999950E0,-3.838000059E0,5.348093512E0
2.287910938E0,1.184000015E0,-3.877000093E0,-3.062999964E0,5.080841912E0
2.297648556E0,7.269999981E-1,-4.644000053E0,-2.329999924E0,5.246347790E0
2.307386304E0,-1.250000000E-1,-5.297999859E0,-1.853000045E0,5.614092685E0
2.317123921E0,-9.900000095E-1,-5.886000156E0,-1.764000058E0,6.223888982E0
2.326861669E0,-1.220000029E0,-6.342000008E0,-2.046000004E0,6.774620298E0
2.336599209E0,-5.899999738E-1,-6.348000050E0,-3.190999985E0,7.129353793E0
2.346336838E0,6.850000024E-1,-5.665999889E0,-4.579999924E0,7.317730458E0
2.356074607E0,1.976999998E0,-4.517000198E0,-5.379000187E0,7.296948869E0
2.365812195E0,2.630000114E0,-3.292999983E0,-5.809999943E0,7.177523864E0
2.375550039E0,3.180999994E0,-2.345999956E0,-5.475999832E0,6.753447336E0
2.385287556E0,3.638000011E0,-2.137000084E0,-3.530999899E0,5.501797318E0
2.395025400E0,4.223999977E0,-2.930999994E0,2.600000054E-2,5.141362930E0
2.404763169E0,4.734000206E0,-3.842000008E0,4.708000183E0,7.703050547E0
2.414500714E0,5.296999931E0,-4.505000114E0,9.593000412E0,1.184815982E1
2.424238558E0,5.517000198E0,-4.501999855E0,1.302000046E1,1.484000356E1
2.433976119E0,5.223999977E0,-3.733000040E0,1.427000046E1,1.564795124E1
2.443713714E0,4.585000038E0,-2.437999964E0,1.358699989E1,1.454553661E1
2.453451472E0,3.664000034E0,-1.011000037E0,1.180300045E1,1.239991278E1
2.463189090E0,2.836999893E0,1.570000052E-1,9.866999626E0,1.026795496E1
2.472926866E0,2.276000023E0,1.093000054E0,8.512000084E0,8.878568052E0
2.482664483E0,1.932000041E0,1.728999972E0,7.493000031E0,7.928878516E0
2.492402294E0,1.774000049E0,2.075999975E0,6.381999969E0,6.941669517E0
2.502139911E0,1.587000012E0,2.322999954E0,5.126999855E0,5.848164271E0
2.511877688E0,1.327000022E0,2.490000010E0,3.556999922E0,4.540184748E0
2.521615306E0,1.062000036E0,2.549999952E0,1.741000056E0,3.265183767E0
2.531353073E0,9.539999962E-1,2.523999929E0,-7.299999893E-2,2.699262980E0
2.541090690E0,9.229999781E-1,2.525000095E0,-1.588999987E0,3.122895355E0
2.550828471E0,8.529999852E-1,2.515000105E0,-2.658999920E0,3.758073320E0
2.560566088E0,7.340000272E-1,2.335000038E0,-3.612999916E0,4.364029057E0
2.570303855E0,5.180000067E-1,2.059000015E0,-4.622000217E0,5.086323926E0
2.580041473E0,1.010000035E-1,1.838999987E0,-5.592999935E0,5.888443786E0
2.589779002E0,-3.759999871E-1,1.667999983E0,-6.500000000E0,6.721130852E0
2.599516764E0,-9.890000224E-1,1.827999949E0,-7.409999847E0,7.695960148E0
2.609254382E0,-1.572000027E0,2.016000032E0,-8.255000114E0,8.641786106E0
2.618992115E0,-2.118000031E0,2.244999886E0,-8.944999695E0,9.462503271E0
2.628729732E0,-2.713999987E0,2.523999929E0,-9.541999817E0,1.023650976E1
2.638467577E0,-2.868999958E0,2.654999971E0,-9.989000320E0,1.072661703E1
2.648205103E0,-2.400000095E0,2.680999994E0,-9.979000092E0,1.060793120E1
2.657942870E0,-1.503999949E0,2.778000116E0,-8.850000381E0,9.396904131E0
2.667680488E0,-1.422000051E0,2.676000118E0,-6.684999943E0,7.339774180E0
2.677418255E0,-2.282000065E0,1.726999998E0,-5.098999977E0,5.847209083E0
2.687155862E0,-3.323999882E0,2.720000148E-1,-4.335999966E0,5.470270096E0
2.696893630E0,-4.586999893E0,-7.429999709E-1,-3.640000105E0,5.902729686E0
2.706631233E0,-5.256000042E0,-1.325999975E0,-2.904000044E0,6.149555157E0
2.716369000E0,-4.631000042E0,-1.437999964E0,-7.500000000E-1,4.906781561E0
2.726106536E0,-1.707000017E0,-1.416000009E0,3.417999983E0,4.074509660E0
2.735844380E0,2.526999950E0,-1.052999973E0,1.003999996E1,1.040654299E1
2.745581997E0,6.283999920E0,-4.129999876E-1,1.681500053E1,1.795559709E1
2.755319760E0,8.293999672E0,-4.490000010E-1,2.048200035E1,2.210213496E1
2.765057377E0,9.451000214E0,-1.784000039E0,2.032500076E1,2.248576699E1
2.774795110E0,9.878000259E0,-3.197999954E0,1.887700081E1,2.154398413E1
2.784532651E0,9.937000275E0,-4.211999893E0,1.760300064E1,2.064825777E1
2.794270250E0,9.380000114E0,-4.381999969E0,1.678599930E1,1.972196994E1
2.804008019E0,8.579999924E0,-4.103000164E0,1.652199936E1,1.906377381E1
2.813745632E0,7.262000084E0,-3.476000071E0,1.571399975E1,1.765641554E1
2.823483399E0,6.058000088E0,-2.831000090E0,1.337800026E1,1.495609633E1
2.833221002E0,4.432000160E0,-1.815000057E0,9.906000137E0,1.100298547E1
2.842958770E0,2.549000025E0,-1.031000018E0,5.554999828E0,6.198256630E0
2.852696391E0,1.013000011E0,-5.749999881E-1,1.398000002E0,1.819669754E0
2.862434158E0,9.700000286E-2,-2.230000049E-1,-1.703999996E0,1.721265229E0
2.872171787E0,-2.000000030E-1,-1.669999957E-1,-3.904000044E0,3.912685183E0
2.881909554E0,-1.449999958E-1,-1.920000017E-1,-5.473000050E0,5.478286095E0
2.891647175E0,3.799999878E-2,-2.360000014E-1,-6.763999939E0,6.768222453E0
2.901384943E0,1.360000074E-1,-2.179999948E-1,-7.763999939E0,7.768250450E0
