"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.516442826E0,-5.299999937E-2,-1.700000092E-2,2.400000021E-2,6.061352964E-2
2.526179501E0,-2.800000086E-2,-2.700000070E-2,7.800000161E-2,8.716077293E-2
2.535916117E0,9.999999776E-3,-1.499999966E-2,1.040000021E-1,1.055509376E-1
2.545653029E0,2.899999917E-2,-2.300000004E-2,8.900000155E-2,9.638983468E-2
2.555389646E0,3.799999878E-2,-2.400000021E-2,7.900000364E-2,9.089004616E-2
2.565126480E0,9.999999776E-3,-1.099999994E-2,4.500000179E-2,4.739198408E-2
2.574863175E0,1.499999966E-2,1.000000047E-3,8.999999613E-3,1.752141498E-2
2.584600009E0,1.700000092E-2,1.099999994E-2,-4.300000146E-2,4.752894019E-2
2.594336703E0,2.700000070E-2,4.300000146E-2,-8.399999887E-2,9.815294174E-2
2.604073311E0,0.000000000E0,7.299999893E-2,-1.180000007E-1,1.387551801E-1
2.613810155E0,-2.899999917E-2,8.100000024E-2,-9.700000286E-2,1.296572425E-1
2.623546867E0,-2.999999933E-2,8.699999750E-2,-2.899999917E-2,9.648833855E-2
2.633283711E0,2.500000037E-2,6.400000304E-2,2.300000004E-2,7.245688656E-2
2.643020396E0,4.399999976E-2,5.000000075E-2,5.900000036E-2,8.897752579E-2
2.652757240E0,5.000000075E-2,1.999999955E-2,1.000000015E-1,1.135781685E-1
2.662493944E0,2.199999988E-2,2.000000095E-3,1.449999958E-1,1.466731018E-1
2.672230788E0,4.699999839E-2,-4.600000009E-2,1.659999937E-1,1.785525070E-1
2.681967511E0,6.400000304E-2,-1.080000028E-1,1.609999985E-1,2.041592528E-1
2.691704126E0,6.599999964E-2,-1.150000021E-1,1.439999938E-1,1.957472826E-1
2.701440966E0,3.500000015E-2,-1.169999987E-1,1.049999967E-1,1.610558879E-1
2.711177661E0,1.899999939E-2,-1.299999952E-1,6.899999827E-2,1.483981081E-1
2.720914515E0,2.000000095E-3,-1.169999987E-1,6.300000101E-2,1.328984568E-1
2.730651132E0,1.400000043E-2,-8.799999952E-2,6.100000069E-2,1.079861103E-1
2.740387823E0,4.199999943E-2,-6.899999827E-2,1.000000047E-3,8.078365994E-2
2.750124669E0,1.899999939E-2,-2.899999917E-2,-5.999999866E-2,6.929646288E-2
2.759861358E0,-2.700000070E-2,1.499999966E-2,-6.700000167E-2,7.377669179E-2
2.769598202E0,-5.000000075E-2,4.500000179E-2,-6.199999899E-2,9.148223931E-2
2.779334902E0,-7.199999690E-2,3.500000015E-2,-5.299999937E-2,9.601041349E-2
2.789071746E0,-7.500000298E-2,3.599999845E-2,-8.000000380E-3,8.357631448E-2
2.798808426E0,-9.600000083E-2,4.399999976E-2,4.199999943E-2,1.136485816E-1
2.808545041E0,-1.010000035E-1,4.699999839E-2,7.999999821E-2,1.371495544E-1
2.818281876E0,-1.000000015E-1,3.400000185E-2,1.159999967E-1,1.568821202E-1
2.828018579E0,-1.019999981E-1,3.900000080E-2,1.199999973E-1,1.622498044E-1
2.837755423E0,-6.599999964E-2,3.700000048E-2,1.140000001E-1,1.368247054E-1
2.847492117E0,0.000000000E0,2.800000086E-2,1.190000027E-1,1.222497472E-1
2.857228962E0,3.099999949E-2,3.500000015E-2,7.000000030E-2,8.417838215E-2
2.866965599E0,4.899999872E-2,1.999999955E-2,-3.000000026E-3,5.300943177E-2
2.876702520E0,5.499999970E-2,2.899999917E-2,-7.500000298E-2,9.742176536E-2
2.886439133E0,1.019999981E-1,4.899999872E-2,-8.699999750E-2,1.427375180E-1
2.896175825E0,1.190000027E-1,3.700000048E-2,-7.400000095E-2,1.449344708E-1
