"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.092858510E0,-1.700000092E-2,-5.900000036E-2,-3.900000080E-2,7.273926131E-2
2.102595356E0,-5.700000003E-2,-4.800000042E-2,3.999999911E-2,8.457540997E-2
2.112332059E0,-4.699999839E-2,-9.999999776E-3,8.500000089E-2,9.764220397E-2
2.122068675E0,1.400000043E-2,2.300000004E-2,4.600000009E-2,5.330103209E-2
2.131805519E0,1.400000043E-2,-4.000000190E-3,5.000000075E-2,5.207686711E-2
2.141542237E0,-4.600000009E-2,-3.099999949E-2,8.500000089E-2,1.014987691E-1
2.151278853E0,-1.089999974E-1,-1.600000076E-2,6.499999762E-2,1.279140303E-1
2.161015712E0,-1.749999970E-1,-8.000000380E-3,3.999999911E-2,1.796913990E-1
2.170752329E0,7.199999690E-2,-2.700000070E-2,-7.900000364E-2,1.102451821E-1
2.180489015E0,6.700000167E-2,-4.500000179E-2,-9.200000018E-2,1.223846413E-1
2.190225861E0,-3.000000026E-3,-2.000000095E-3,-2.199999988E-2,2.229349670E-2
2.199962560E0,-2.500000037E-2,-1.099999994E-2,-5.600000173E-2,6.230569967E-2
2.209699176E0,-4.600000009E-2,-2.099999972E-2,-1.169999987E-1,1.274597964E-1
2.219436020E0,-1.899999939E-2,-3.599999845E-2,-1.620000005E-1,1.670359243E-1
2.229172718E0,-3.400000185E-2,-3.999999911E-2,-1.500000060E-1,1.589213700E-1
2.238909562E0,-6.700000167E-2,-3.099999949E-2,-1.209999993E-1,1.417427248E-1
2.248646195E0,-9.600000083E-2,1.000000047E-3,-6.400000304E-2,1.153819767E-1
2.258382885E0,-9.000000358E-2,-8.000000380E-3,-4.399999976E-2,1.004987593E-1
2.268119735E0,6.000000052E-3,1.000000047E-3,-6.100000069E-2,6.130252918E-2
2.277856430E0,-9.999999776E-3,1.099999994E-2,-1.700000092E-2,2.258318015E-2
2.287593050E0,-1.099999994E-2,2.199999988E-2,-9.999999776E-3,2.655183589E-2
2.297329937E0,-3.099999949E-2,2.400000021E-2,6.000000052E-3,3.966106377E-2
2.307066646E0,-7.500000298E-2,-4.399999976E-2,4.000000190E-3,8.704596733E-2
2.316803262E0,-1.899999976E-1,-7.599999756E-2,9.999999776E-3,2.048804498E-1
2.326540091E0,3.999999911E-2,1.030000001E-1,-2.269999981E-1,2.524638570E-1
2.336276785E0,8.900000155E-2,1.860000044E-1,-1.180000007E-1,2.375731510E-1
2.346013411E0,8.299999684E-2,1.449999958E-1,1.770000011E-1,2.433988468E-1
2.355750255E0,2.160000056E-1,1.239999980E-1,2.210000008E-1,3.329759785E-1
2.365486963E0,2.099999934E-1,1.099999994E-1,2.660000026E-1,3.563088527E-1
2.375223579E0,1.500000060E-1,4.100000113E-2,2.450000048E-1,2.901827083E-1
2.384960418E0,9.300000221E-2,4.100000113E-2,1.250000000E-1,1.611055570E-1
2.394697112E0,9.099999815E-2,1.609999985E-1,1.159999967E-1,2.183071194E-1
2.404433966E0,-8.000000380E-3,1.599999964E-1,1.500000060E-1,2.194629824E-1
2.414170574E0,2.600000054E-2,1.010000035E-1,8.900000155E-2,1.371058023E-1
2.423907264E0,2.899999917E-2,3.799999878E-2,1.899999939E-2,5.143928300E-2
2.433643868E0,-2.999999933E-2,1.099999994E-2,8.200000226E-2,8.800568351E-2
2.443380712E0,-7.400000095E-2,9.999999776E-3,7.800000161E-2,1.079814817E-1
2.453117420E0,-5.600000173E-2,2.000000095E-3,2.400000021E-2,6.095900429E-2
2.462854264E0,-4.800000042E-2,1.700000092E-2,4.899999872E-2,7.066823859E-2
2.472590959E0,-5.700000003E-2,1.799999923E-2,9.700000286E-2,1.139385823E-1
2.482327574E0,-5.000000075E-2,-1.200000010E-2,1.030000001E-1,1.151216752E-1
2.492064418E0,8.600000292E-2,-3.599999845E-2,-6.100000069E-2,1.114136458E-1
2.501801112E0,7.500000298E-2,1.499999966E-2,1.300000027E-2,7.758221732E-2
2.511537709E0,3.900000080E-2,-1.999999955E-2,6.300000101E-2,7.674633654E-2
2.521274553E0,4.399999976E-2,-8.200000226E-2,5.099999905E-2,1.061178602E-1
2.531011208E0,7.900000364E-2,-1.059999987E-1,5.099999905E-2,1.416968603E-1
2.540748053E0,1.070000008E-1,-7.199999690E-2,1.000000047E-3,1.289728643E-1
2.550484747E0,8.399999887E-2,-2.800000086E-2,-1.070000008E-1,1.388848445E-1
2.560221362E0,-4.600000009E-2,1.200000010E-2,-7.299999893E-2,8.711486586E-2
2.569958240E0,-1.169999987E-1,3.299999982E-2,-9.000000358E-2,1.512547531E-1
2.579694935E0,-1.360000074E-1,5.700000003E-2,-4.600000009E-2,1.544700684E-1
2.589431526E0,-1.040000021E-1,2.600000054E-2,0.000000000E0,1.072007485E-1
2.599168370E0,-7.699999958E-2,-1.799999923E-2,1.200000010E-2,7.998124724E-2
2.608905055E0,-1.140000001E-1,-1.799999923E-2,3.299999982E-2,1.200374940E-1
2.618641699E0,-1.120000035E-1,1.600000076E-2,2.899999917E-2,1.167946949E-1
2.628378543E0,-1.260000020E-1,2.199999988E-2,8.699999750E-2,1.546900128E-1
2.638115238E0,-1.010000035E-1,0.000000000E0,1.140000001E-1,1.523056162E-1
2.647852068E0,-4.399999976E-2,-4.000000190E-3,1.589999944E-1,1.650242352E-1
2.657588685E0,4.999999888E-3,-1.300000027E-2,2.220000029E-1,2.224365107E-1
2.667325366E0,5.600000173E-2,1.499999966E-2,2.000000095E-3,5.800862163E-2
2.677062212E0,6.599999964E-2,9.600000083E-2,1.309999973E-1,1.753082981E-1
2.686798867E0,-3.099999949E-2,-1.999999955E-2,1.280000061E-1,1.332103656E-1
2.696535482E0,-8.999999613E-3,-4.100000113E-2,1.169999987E-1,1.243020506E-1
2.706272326E0,-8.000000380E-3,-3.200000152E-2,8.999999613E-3,3.419064340E-2
2.716009020E0,6.000000052E-3,1.099999994E-2,-7.000000030E-2,7.111258708E-2
2.725745645E0,-1.700000092E-2,4.199999943E-2,-4.300000146E-2,6.246599162E-2
2.735482490E0,-2.999999933E-2,3.299999982E-2,-4.500000179E-2,6.335613711E-2
2.745219198E0,0.000000000E0,2.400000021E-2,-5.999999866E-2,6.462197652E-2
2.754956042E0,2.600000054E-2,-1.899999939E-2,-7.299999893E-2,7.978721607E-2
2.764692655E0,2.500000037E-2,-4.600000009E-2,-5.299999937E-2,7.449832186E-2
2.774429346E0,7.000000216E-3,-2.800000086E-2,-4.600000009E-2,5.430469648E-2
2.784166192E0,-1.899999939E-2,-2.199999988E-2,-8.600000292E-2,9.077995634E-2
2.793902886E0,-1.499999966E-2,-6.000000052E-3,-1.289999932E-1,1.300076853E-1
2.803639502E0,1.099999994E-2,2.500000037E-2,-1.169999987E-1,1.201457436E-1
2.813376365E0,-6.599999964E-2,4.000000190E-3,-2.419999987E-1,2.508704832E-1
2.823113059E0,-1.400000043E-2,4.399999976E-2,-3.900000080E-2,6.044005339E-2
2.832849675E0,0.000000000E0,-3.500000015E-2,-7.999999821E-2,8.732124440E-2
2.842586519E0,8.799999952E-2,-1.270000041E-1,-6.100000069E-2,1.661144215E-1
2.852323194E0,1.260000020E-1,-1.260000020E-1,3.000000026E-3,1.782161637E-1
2.862060038E0,1.589999944E-1,-9.700000286E-2,8.100000024E-2,2.031034190E-1
2.871796732E0,1.350000054E-1,-7.199999690E-2,1.159999967E-1,1.920026047E-1
2.881533576E0,1.140000001E-1,3.000000026E-3,7.299999893E-2,1.354031014E-1
2.891270189E0,6.300000101E-2,7.900000364E-2,1.799999923E-2,1.026352799E-1
2.901006880E0,3.500000015E-2,1.430000067E-1,-3.999999911E-2,1.525581917E-1
2.910743497E0,1.300000027E-2,1.780000031E-1,-1.379999965E-1,2.256036351E-1
2.920480341E0,-1.999999955E-2,1.620000005E-1,-1.860000044E-1,2.474671731E-1
